行为时间,DAU,语音房人数,语音房渗透率,充值人数,充值金额日元,大盘充值率,语音房充值率,ARPU(日元),ARPPU(日元),充值金额（美金）,充值星粒数,每星粒价值X日元
2024/10/29,221540,47670,21.52%,1644,10971980,0.74%,3.45%,49.53,6673.95,71085.07,3098655,3.541
2024/10/30,221658,47065,21.23%,1485,9035443,0.67%,3.16%,40.76,6084.47,58538.67,2521557,3.583
2024/10/31,218332,46958,21.51%,1901,14956419,0.87%,4.05%,68.5,7867.66,96899.38,4048010,3.695
2024/11/1,220769,47990,21.74%,2617,25890616,1.19%,5.45%,117.27,9893.24,167739.66,7009535,3.694
2024/11/2,223466,49203,22.02%,2401,13112251,1.07%,4.88%,58.68,5461.16,84951.42,3627345,3.615
2024/11/3,220126,47945,21.78%,1976,9838310,0.90%,4.12%,44.69,4978.9,63740.27,2713410,3.626
2024/11/4,224739,50004,22.25%,2768,13809181,1.23%,5.54%,61.45,4988.87,89466.67,3867053,3.571
2024/11/5,221890,48107,21.68%,1872,11000791,0.84%,3.89%,49.58,5876.49,71271.73,3093400,3.556
2024/11/6,222652,48030,21.57%,1678,8983639,0.75%,3.49%,40.35,5353.78,58203.04,2507513,3.583
2024/11/7,218801,46921,21.44%,1503,7253201,0.69%,3.20%,33.15,4825.82,46991.91,2042336,3.551
2024/11/8,217307,46488,21.39%,1645,8896192,0.76%,3.54%,40.94,5408.02,57636.49,2495823,3.564
2024/11/9,218011,47495,21.79%,1415,7573038,0.65%,2.98%,34.74,5351.97,49064.06,2142190,3.535
2024/11/10,229992,49326,21.45%,1408,5594903,0.61%,2.85%,24.33,3973.65,36248.16,1575042,3.552
2024/11/11,222114,47257,21.28%,2269,8590488,1.02%,4.80%,38.68,3786.02,55655.9,2412794,3.56
2024/11/12,225907,47413,20.99%,1566,9066271,0.69%,3.30%,40.13,5789.45,58738.39,2569068,3.529
2024/11/13,223083,47226,21.17%,1456,10430931,0.65%,3.08%,46.76,7164.1,67579.73,2956844,3.528
2024/11/14,221460,46842,21.15%,1372,8305847,0.62%,2.93%,37.5,6053.82,53811.77,2323432,3.575
2024/11/15,220357,47414,21.52%,1623,10110268,0.74%,3.42%,45.88,6229.37,65502.22,2835128,3.566
2024/11/16,222101,49356,22.22%,1404,8509297,0.63%,2.84%,38.31,6060.75,55129.88,2381426,3.573
2024/11/17,229296,49890,21.76%,1495,8564665,0.65%,3.00%,37.35,5728.87,55488.6,2409798,3.554
2024/11/18,221117,47484,21.47%,2055,7702161,0.93%,4.33%,34.83,3748.01,49900.62,2157413,3.57
2024/11/19,222366,46858,21.07%,1442,7210736,0.65%,3.08%,32.43,5000.51,46716.79,2019161,3.571
2024/11/20,222007,46882,21.12%,1445,7143145,0.65%,3.08%,32.18,4943.35,46278.88,1976605,3.614
2024/11/21,222554,46995,21.12%,1471,6569342,0.66%,3.13%,29.52,4465.9,42561.33,1841191,3.568
2024/11/22,219628,46680,21.25%,1422,8732248,0.65%,3.05%,39.76,6140.82,56574.33,2436700,3.584
2024/11/23,221904,47368,21.35%,1323,7794638,0.60%,2.79%,35.13,5891.64,50499.76,2183099,3.57
2024/11/24,222431,48684,21.89%,1411,7860190,0.63%,2.90%,35.34,5570.65,50924.46,2210725,3.555
2024/11/25,219688,46807,21.31%,2134,10765025,0.97%,4.56%,49,5044.53,69744.25,3012185,3.574
2024/11/26,222871,47153,21.16%,1783,11028450,0.80%,3.78%,49.48,6185.33,71450.92,3098985,3.559
2024/11/27,222090,47271,21.28%,1748,8988974,0.79%,3.70%,40.47,5142.43,58237.6,2517014,3.571
2024/11/28,217714,46677,21.44%,1585,9417891,0.73%,3.40%,43.26,5941.89,61016.46,2681351,3.512
2024/11/29,216343,45713,21.13%,1610,11028187,0.74%,3.52%,50.98,6849.81,71449.22,3095808,3.562
2024/11/30,221397,47462,21.44%,1757,12064800,0.79%,3.70%,54.49,6866.7,78165.21,3196360,3.775
2024/12/1,225333,48512,21.53%,2625,19826469,1.16%,5.41%,87.99,7552.94,128451.37,5314453,3.731
2024/12/2,220537,46475,21.07%,2683,12946263,1.22%,5.77%,58.7,4825.29,83876.02,3550351,3.646
2024/12/3,220196,47186,21.43%,1997,12748770,0.91%,4.23%,57.9,6383.96,82596.5,3569311,3.572
2024/12/4,219854,47525,21.62%,1873,11201422,0.85%,3.94%,50.95,5980.47,72571.57,3163396,3.541
2024/12/5,218211,46960,21.52%,1779,10291903,0.82%,3.79%,47.16,5785.22,66679,2909930,3.537
2024/12/6,218485,46176,21.13%,1669,9150734,0.76%,3.61%,41.88,5482.76,59285.61,2579594,3.547
2024/12/7,218546,47298,21.64%,1510,7329374,0.69%,3.19%,33.54,4853.89,47485.42,2058281,3.561
2024/12/8,220392,48005,21.78%,1623,7090736,0.74%,3.38%,32.17,4368.91,45939.33,1985390,3.571
2024/12/9,217316,46547,21.42%,2583,11591364,1.19%,5.55%,53.34,4487.56,75097.92,3269557,3.545
2024/12/10,222777,46477,20.86%,1816,10876404,0.82%,3.91%,48.82,5989.21,70465.85,3070925,3.542
2024/12/11,217582,46235,21.25%,1815,11357116,0.83%,3.93%,52.2,6257.36,73580.28,3227901,3.518
2024/12/12,215068,45928,21.36%,1685,9885479,0.78%,3.67%,45.96,5866.75,64045.86,2779765,3.556
2024/12/13,212973,45420,21.33%,1912,14819955,0.90%,4.21%,69.59,7751.02,96015.26,4180551,3.545
2024/12/14,218851,46501,21.25%,1639,10831639,0.75%,3.52%,49.49,6608.69,70175.83,3088370,3.507
2024/12/15,222032,47864,21.56%,1654,9543086,0.74%,3.46%,42.98,5769.7,61827.57,2688248,3.55
2024/12/16,221233,46537,21.04%,2469,12008521,1.12%,5.31%,54.28,4863.72,77800.59,3444849,3.486
2024/12/17,222508,45823,20.59%,1941,11734963,0.87%,4.24%,52.74,6045.83,76028.27,3484866,3.367
2024/12/18,220778,46248,20.95%,1542,6891446,0.70%,3.33%,31.21,4469.16,44648.18,1952736,3.529
2024/12/19,218906,45855,20.95%,1403,6551549,0.64%,3.06%,29.93,4669.67,42446.06,1849135,3.543
2024/12/20,213436,45280,21.21%,1495,8235541,0.70%,3.30%,38.59,5508.72,53356.27,2318210,3.553
2024/12/21,215511,46156,21.42%,1502,8273577,0.70%,3.25%,38.39,5508.37,53602.7,2321313,3.564
2024/12/22,224450,47295,21.07%,1474,8075545,0.66%,3.12%,35.98,5478.66,52319.7,2276709,3.547
2024/12/23,217805,45737,21.00%,2237,8739666,1.03%,4.89%,40.13,3906.87,56622.39,2457132,3.557
2024/12/24,215667,44846,20.79%,1655,8643081,0.77%,3.69%,40.08,5222.41,55996.64,2431883,3.554
2024/12/25,214705,44429,20.69%,1811,16463295,0.84%,4.08%,76.68,9090.72,106662.1,4703806,3.5
2024/12/26,215807,45877,21.26%,1637,11470967,0.76%,3.57%,53.15,7007.31,74317.89,3271213,3.507
2024/12/27,214477,45502,21.22%,1922,12691762,0.90%,4.22%,59.18,6603.41,82227.16,3606548,3.519
2024/12/28,215031,44970,20.91%,1632,8996144,0.76%,3.63%,41.84,5512.34,58284.06,2540485,3.541
2024/12/29,216028,45087,20.87%,1597,7529602,0.74%,3.54%,34.85,4714.84,48782.65,2132770,3.53
2024/12/30,215882,45596,21.12%,2401,12090347,1.11%,5.27%,56,5035.55,78330.72,3433430,3.521
2024/12/31,218860,43438,19.85%,2140,16576209,0.98%,4.93%,75.74,7745.89,107393.64,4571015,3.626
2025/1/1,225734,41832,18.53%,2722,24114319,1.21%,6.51%,106.83,8859.04,165087.42,6615665,3.645
2025/1/2,220112,43155,19.61%,2128,13881751,0.97%,4.93%,63.07,6523.38,95034.92,3815872,3.638
2025/1/3,221214,45825,20.72%,2006,11019275,0.91%,4.38%,49.81,5493.16,75438.32,3085098,3.572
2025/1/4,222899,47601,21.36%,1911,9319006,0.86%,4.01%,41.81,4876.51,63798.22,2605914,3.576
2025/1/5,227103,49168,21.65%,1979,9818049,0.87%,4.02%,43.23,4961.12,67214.68,2740096,3.583
2025/1/6,229267,48383,21.10%,2462,9007600,1.07%,5.09%,39.29,3658.65,61666.32,2519596,3.575
2025/1/7,229289,48658,21.22%,1673,8090782,0.73%,3.44%,35.29,4836.09,55389.76,2270858,3.563
2025/1/8,225253,47500,21.09%,1819,8517017,0.81%,3.83%,37.81,4682.25,58307.78,2393098,3.559
2025/1/9,222709,47710,21.42%,2927,13654224,1.31%,6.13%,61.31,4664.92,93477.26,3809528,3.584
2025/1/10,221520,47069,21.25%,2243,11832547,1.01%,4.77%,53.42,5275.32,81006,3302505,3.583
2025/1/11,221982,47843,21.55%,1882,8866477,0.85%,3.93%,39.94,4711.2,60700.19,2469131,3.591
2025/1/12,226944,48541,21.39%,1842,7020520,0.81%,3.79%,30.94,3811.36,48062.71,1966979,3.569
2025/1/13,229016,49805,21.75%,2365,7851092,1.03%,4.75%,34.28,3319.7,53748.83,2200011,3.569
2025/1/14,226886,47671,21.01%,1537,8056156,0.68%,3.22%,35.51,5241.48,55152.71,2254007,3.574
2025/1/15,226266,47378,20.94%,1734,11897613,0.77%,3.66%,52.58,6861.37,81451.45,3362264,3.539
2025/1/16,225020,47000,20.89%,1496,8389875,0.66%,3.18%,37.29,5608.21,57437.36,2378541,3.527
2025/1/17,225653,47543,21.07%,1576,7211203,0.70%,3.31%,31.96,4575.64,49368.13,2037248,3.54
2025/1/18,228315,48838,21.39%,1543,8108234,0.68%,3.16%,35.51,5254.85,55509.24,2262089,3.584
2025/1/19,230602,49823,21.61%,1497,6779855,0.65%,3.00%,29.4,4528.96,46415.11,1903114,3.563
2025/1/20,226045,48136,21.29%,2418,8019677,1.07%,5.02%,35.48,3316.66,54902.97,2253107,3.559
2025/1/21,228494,47922,20.97%,1621,7303198,0.71%,3.38%,31.96,4505.37,49997.93,2037140,3.585
2025/1/22,226573,47960,21.17%,1535,7096036,0.68%,3.20%,31.32,4622.82,48579.69,1983101,3.578
2025/1/23,226034,48146,21.30%,1485,7008026,0.66%,3.08%,31,4719.21,47977.18,1942655,3.607
2025/1/24,225561,47598,21.10%,1771,13275660,0.79%,3.72%,58.86,7496.14,90885.6,3708315,3.58
2025/1/25,227075,49000,21.58%,1577,8878626,0.69%,3.22%,39.1,5630.07,60783.36,2478051,3.583
2025/1/26,243815,50087,20.54%,1636,8323419,0.67%,3.27%,34.14,5087.66,56982.4,2330434,3.572
2025/1/27,229532,48717,21.22%,2567,14221441,1.12%,5.27%,61.96,5540.1,97360.45,3993471,3.561
2025/1/28,228181,48237,21.14%,1719,10961672,0.75%,3.56%,48.04,6376.77,75043.97,3085593,3.553
2025/1/29,226287,48497,21.43%,1559,8935265,0.69%,3.21%,39.49,5731.41,61171.12,2520242,3.545
2025/1/30,224885,47789,21.25%,1450,8409652,0.64%,3.03%,37.4,5799.76,57572.75,2349024,3.58
2025/1/31,222811,47794,21.45%,1851,14949315,0.83%,3.87%,67.09,8076.35,102343.5,4037620,3.703
2025/2/1,227511,50279,22.10%,2828,24134960,1.24%,5.62%,106.08,8534.29,165228.73,6576726,3.67
2025/2/2,230983,51175,22.16%,2389,13357632,1.03%,4.67%,57.83,5591.31,91446.79,3694280,3.616
2025/2/3,225352,50042,22.21%,2674,10702264,1.19%,5.34%,47.49,4002.34,73268.05,2990808,3.578
2025/2/4,226167,49451,21.86%,1825,10269663,0.81%,3.69%,45.41,5627.21,70306.45,2863945,3.586
2025/2/5,226540,49410,21.81%,1877,10489837,0.83%,3.80%,46.3,5588.62,71813.77,2943561,3.564
2025/2/6,223907,49777,22.23%,1728,10708455,0.77%,3.47%,47.83,6197.02,73310.43,2959238,3.619
2025/2/7,227817,49016,21.52%,1717,9189810,0.75%,3.50%,40.34,5352.25,62913.74,2566514,3.581
2025/2/8,228405,50008,21.89%,1531,8472580,0.67%,3.06%,37.09,5534.02,58003.56,2391251,3.543
2025/2/9,240259,50806,21.15%,1595,8790920,0.66%,3.14%,36.59,5511.55,60182.93,2462808,3.569
2025/2/10,229065,49624,21.66%,2615,10166204,1.14%,5.27%,44.38,3887.65,69598.17,2864471,3.549
2025/2/11,235101,51789,22.03%,1705,7083916,0.73%,3.29%,30.13,4154.79,48496.72,1980932,3.576
2025/2/12,229296,50137,21.87%,1578,7241472,0.69%,3.15%,31.58,4589.02,49575.35,2032669,3.563
2025/2/13,227349,49809,21.91%,1595,9898720,0.70%,3.20%,43.54,6206.09,67766.96,2793524,3.543
2025/2/14,226845,49164,21.67%,2097,13677695,0.92%,4.27%,60.3,6522.51,93637.95,3829080,3.572
2025/2/15,230703,50687,21.97%,1670,10486584,0.72%,3.29%,45.45,6279.39,71791.5,2953143,3.551
2025/2/16,236069,52132,22.08%,1594,9268564,0.68%,3.06%,39.26,5814.66,63452.89,2628731,3.526
2025/2/17,231891,50781,21.90%,2395,8293366,1.03%,4.72%,35.76,3462.78,56776.66,2355601,3.521
2025/2/18,228518,50350,22.03%,1616,8077389,0.71%,3.21%,35.35,4998.38,55298.07,2248952,3.592
2025/2/19,227707,50267,22.08%,1514,8939700,0.66%,3.01%,39.26,5904.69,61201.48,2492642,3.586
2025/2/20,225976,49812,22.04%,1470,7409007,0.65%,2.95%,32.79,5040.14,50722.3,2083820,3.555
2025/2/21,225611,49510,21.94%,1714,12094685,0.76%,3.46%,53.61,7056.41,82800.61,3362332,3.597
2025/2/22,227846,50043,21.96%,1556,8219070,0.68%,3.11%,36.07,5282.18,56268.02,2297305,3.578
2025/2/23,236549,50571,21.38%,1633,9988921,0.69%,3.23%,42.23,6116.91,68384.48,2795643,3.573
2025/2/24,233889,51698,22.10%,2556,9710961,1.09%,4.94%,41.52,3799.28,66481.56,2711262,3.582
2025/2/25,230644,50253,21.79%,1827,10477283,0.79%,3.64%,45.43,5734.69,71727.82,2921669,3.586
2025/2/26,232915,50259,21.58%,1662,9385113,0.71%,3.31%,40.29,5646.88,64250.79,2613038,3.592
2025/2/27,229837,50429,21.94%,1615,10278009,0.70%,3.20%,44.72,6364.09,70363.59,2859681,3.594
2025/2/28,229858,49819,21.67%,2023,16348666,0.88%,4.06%,71.13,8081.4,111923.5,4333595,3.773
2025/3/1,231687,50784,21.92%,3949,30100479,1.70%,7.78%,129.92,7622.3,206068.86,7993120,3.766
2025/3/2,234341,51880,22.14%,2496,11819836,1.07%,4.81%,50.44,4735.51,80918.98,3233110,3.656
2025/3/3,229128,50436,22.01%,2965,11365718,1.29%,5.88%,49.6,3833.29,77810.08,3143035,3.616
2025/3/4,229555,50620,22.05%,2077,9945501,0.90%,4.10%,43.33,4788.4,68087.23,2746442,3.621
2025/3/5,229578,50612,22.05%,2133,11895071,0.93%,4.21%,51.81,5576.69,81434.05,3323330,3.579
2025/3/6,226962,49940,22.00%,1925,8114459,0.85%,3.85%,35.75,4215.3,55551.85,2231677,3.636
2025/3/7,227560,49686,21.83%,2068,11924182,0.91%,4.16%,52.4,5766.05,81633.34,3299118,3.614
2025/3/8,227902,50332,22.08%,1816,8440176,0.80%,3.61%,37.03,4647.67,57781.72,2336375,3.613
2025/3/9,239561,50824,21.22%,1825,8468906,0.76%,3.59%,35.35,4640.5,57978.41,2338336,3.622
2025/3/10,233328,50885,21.81%,2604,10976953,1.12%,5.12%,47.05,4215.42,75148.58,3064752,3.582
2025/3/11,233136,50980,21.87%,1883,9554511,0.81%,3.69%,40.98,5074.09,65410.49,2666269,3.583
2025/3/12,232200,51819,22.32%,1861,8262459,0.80%,3.59%,35.58,4439.8,56565.06,2294903,3.6
2025/3/13,230388,51046,22.16%,1787,7220096,0.78%,3.50%,31.34,4040.34,49429.01,1996549,3.616
2025/3/14,231403,50056,21.63%,2139,13786629,0.92%,4.27%,59.58,6445.36,94383.71,3854719,3.577
2025/3/15,231785,50405,21.75%,1808,8079345,0.78%,3.59%,34.86,4468.66,55311.46,2243305,3.602
2025/3/16,234821,51963,22.13%,1950,9524092,0.83%,3.75%,40.56,4884.15,65202.25,2700275,3.527
2025/3/17,233150,51693,22.17%,2660,8900155,1.14%,5.15%,38.17,3345.92,60930.75,2492703,3.57
2025/3/18,233728,51659,22.10%,1817,6741470,0.78%,3.52%,28.84,3710.22,46152.32,1880822,3.584
2025/3/19,232070,51874,22.35%,1878,7412290,0.81%,3.62%,31.94,3946.91,50744.78,2067407,3.585
2025/3/20,236565,51898,21.94%,1712,8340235,0.72%,3.30%,35.26,4871.63,57097.52,2317131,3.599
2025/3/21,234065,51296,21.92%,1816,12201810,0.78%,3.54%,52.13,6719.06,83533.99,3401366,3.587
2025/3/22,236197,52275,22.13%,1658,7789615,0.70%,3.17%,32.98,4698.2,53327.96,2172728,3.585
2025/3/23,245735,52862,21.51%,1675,7191060,0.68%,3.17%,29.26,4293.17,49230.23,2010231,3.577
2025/3/24,239202,52312,21.87%,2487,10950206,1.04%,4.75%,45.78,4402.98,74965.47,3101006,3.531
2025/3/25,242158,52812,21.81%,1905,12987760,0.79%,3.61%,53.63,6817.72,88914.63,3626134,3.582
2025/3/26,240950,53143,22.06%,1899,11780387,0.79%,3.57%,48.89,6203.47,80648.91,3298733,3.571
2025/3/27,239709,52938,22.08%,1912,9903962,0.80%,3.61%,41.32,5179.9,67802.85,2763188,3.584
2025/3/28,240386,52841,21.98%,1807,9815576,0.75%,3.42%,40.83,5431.97,67197.75,2706095,3.627
2025/3/29,238784,52089,21.81%,1662,9333725,0.70%,3.19%,39.09,5615.96,63898.99,2589648,3.604
2025/3/30,239938,52647,21.94%,1759,10274483,0.73%,3.34%,42.82,5841.09,70339.45,2950782,3.482
2025/3/31,238483,52913,22.19%,2979,17774535,1.25%,5.63%,74.53,5966.61,121685.05,4684001,3.795
2025/4/1,243876,52962,21.72%,4660,33867110,1.91%,8.80%,138.87,7267.62,231855.34,8905250,3.803
2025/4/2,240113,53395,22.24%,2481,12267581,1.03%,4.65%,51.09,4944.61,83984.26,3361022,3.65
2025/4/3,242802,53283,21.95%,2265,11705814,0.93%,4.25%,48.21,5168.13,80138.39,3218397,3.637
2025/4/4,236734,52441,22.15%,2238,15666696,0.95%,4.27%,66.18,7000.31,107254.71,4335472,3.614
2025/4/5,238004,52501,22.06%,2184,13364311,0.92%,4.16%,56.15,6119.19,91492.51,3739779,3.574
2025/4/6,250276,54771,21.88%,1955,9018962,0.78%,3.57%,36.04,4613.28,61744.11,2514386,3.587
2025/4/7,243309,52877,21.73%,2769,10049540,1.14%,5.24%,41.3,3629.3,68799.48,2801524,3.587
2025/4/8,241880,51544,21.31%,1796,10022930,0.74%,3.48%,41.44,5580.7,68617.31,2804319,3.574
2025/4/9,239403,51259,21.41%,1705,9483972,0.71%,3.33%,39.62,5562.45,64927.58,2660657,3.565
2025/4/10,236537,50807,21.48%,1783,11093833,0.75%,3.51%,46.9,6222,75948.74,3109075,3.568
2025/4/11,237479,50277,21.17%,1838,12282523,0.77%,3.66%,51.72,6682.55,84086.55,3447071,3.563
2025/4/12,250307,53290,21.29%,1749,9764120,0.70%,3.28%,39.01,5582.69,66845.49,2737536,3.567
2025/4/13,251676,54906,21.82%,1698,7755324,0.67%,3.09%,30.81,4567.33,53093.2,2166568,3.58
2025/4/14,239876,51792,21.59%,2765,11878024,1.15%,5.34%,49.52,4295.85,81317.34,3316254,3.582
2025/4/15,238400,50455,21.16%,2064,13740467,0.87%,4.09%,57.64,6657.2,94067.69,3887081,3.535
2025/4/16,239371,50873,21.25%,1822,9092161,0.76%,3.58%,37.98,4990.21,62245.23,2549976,3.566
2025/4/17,237692,51059,21.48%,1747,8563978,0.73%,3.42%,36.03,4902.11,58629.27,2393915,3.577
2025/4/18,239062,50990,21.33%,1887,15334446,0.79%,3.70%,64.14,8126.36,104980.12,4345710,3.529
2025/4/19,242012,52230,21.58%,1658,7278068,0.69%,3.17%,30.07,4389.67,49825.89,2052145,3.547
2025/4/20,252678,54265,21.48%,1704,7601171,0.67%,3.14%,30.08,4460.78,52037.87,2110124,3.602
2025/4/21,241176,51191,21.23%,2558,10236022,1.06%,5.00%,42.44,4001.57,70076.14,2910004,3.518
2025/4/22,240164,51441,21.42%,1637,8037477,0.68%,3.18%,33.47,4909.88,55024.83,2252147,3.569
2025/4/23,239994,51430,21.43%,1770,13546364,0.74%,3.44%,56.44,7653.31,92738.85,3793100,3.571
2025/4/24,238065,50826,21.35%,1644,10775332,0.69%,3.23%,45.26,6554.34,73768.28,3041770,3.542
2025/4/25,234973,49891,21.23%,1856,15052171,0.79%,3.72%,64.06,8110.01,103047.66,4234530,3.555
2025/4/26,246494,51566,20.92%,1927,11858694,0.78%,3.74%,48.11,6153.97,81185.01,3322651,3.569
2025/4/27,244201,52543,21.52%,1828,9253317,0.75%,3.48%,37.89,5061.99,63348.51,2578618,3.588
2025/4/28,240819,51940,21.57%,2528,11655993,1.05%,4.87%,48.4,4610.76,79797.31,3301532,3.53
2025/4/29,246176,53579,21.76%,1958,10401120,0.80%,3.65%,42.25,5312.11,71206.41,2890893,3.598
2025/4/30,240961,51893,21.54%,2119,17806572,0.88%,4.08%,73.9,8403.29,121904.37,4815290,3.698
2025/5/1,240214,51930,21.62%,3588,30547511,1.49%,6.91%,127.17,8513.8,209129.26,8269632,3.694
2025/5/2,238746,51775,21.69%,2778,16696823,1.16%,5.37%,69.94,6010.38,114307,4649525,3.591
2025/5/3,239245,50747,21.21%,2424,12850074,1.01%,4.78%,53.71,5301.19,87972.03,3564551,3.605
2025/5/4,247759,50877,20.53%,2451,11910305,0.99%,4.82%,48.07,4859.37,81538.34,3323295,3.584
2025/5/5,243852,51956,21.31%,2956,13123594,1.21%,5.69%,53.82,4439.65,89844.55,3645477,3.6
2025/5/6,250919,56193,22.39%,2236,13873792,0.89%,3.98%,55.29,6204.74,94980.43,3884944,3.571
2025/5/7,244110,53042,21.73%,1934,9347246,0.79%,3.65%,38.29,4833.12,63991.55,2583630,3.618
2025/5/8,244024,52309,21.44%,1726,8590428,0.71%,3.30%,35.2,4977.07,58810.35,2421881,3.547
2025/5/9,241844,52401,21.67%,1943,14882089,0.80%,3.71%,61.54,7659.34,101883.27,4210634,3.534
2025/5/10,246370,54574,22.15%,1850,9755318,0.75%,3.39%,39.6,5273.14,66785.23,2748732,3.549
2025/5/11,249413,55443,22.23%,1816,8862605,0.73%,3.28%,35.53,4880.29,60673.68,2498983,3.546
2025/5/12,243306,52898,21.74%,2530,10950876,1.04%,4.78%,45.01,4328.41,74970.06,3063381,3.575
2025/5/13,243819,52102,21.37%,1591,9292430,0.65%,3.05%,38.11,5840.62,63616.28,2620819,3.546
2025/5/14,244071,52530,21.52%,1651,11344232,0.68%,3.14%,46.48,6871.13,77662.98,3158493,3.592
2025/5/15,241743,51890,21.46%,1696,11181939,0.70%,3.27%,46.26,6593.12,76551.92,3147366,3.553
2025/5/16,244838,52133,21.29%,1796,14167377,0.73%,3.45%,57.86,7888.29,96990.33,4031052,3.515
2025/5/17,249038,54954,22.07%,1718,9527382,0.69%,3.13%,38.26,5545.62,65224.77,2683980,3.55
2025/5/18,259400,55807,21.51%,1761,7790160,0.68%,3.16%,30.03,4423.71,53331.69,2193132,3.552
2025/5/19,247760,53015,21.40%,2441,12528425,0.99%,4.60%,50.57,5132.5,85770.01,3508361,3.571
2025/5/20,251153,52902,21.06%,1716,10401390,0.68%,3.24%,41.41,6061.42,71208.26,2922368,3.559
2025/5/21,247819,53265,21.49%,1554,9105287,0.63%,2.92%,36.74,5859.26,62335.09,2541107,3.583
2025/5/22,245664,52680,21.44%,1599,7515250,0.65%,3.04%,30.59,4699.97,51449.65,2100979,3.577
2025/5/23,242965,52978,21.80%,1800,11566945,0.74%,3.40%,47.61,6426.08,79187.68,3241724,3.568
2025/5/24,260853,55204,21.16%,1719,9528712,0.66%,3.11%,36.53,5543.17,65233.87,2657376,3.586
2025/5/25,249880,55485,22.20%,1786,12486584,0.71%,3.22%,49.97,6991.37,85483.56,3528904,3.538
2025/5/26,250378,53281,21.28%,2794,14582401,1.12%,5.24%,58.24,5219.18,99831.59,4104310,3.553
2025/5/27,249693,53035,21.24%,1990,10969076,0.80%,3.75%,43.93,5512.1,75094.65,3103441,3.534
2025/5/28,249608,52542,21.05%,1715,8083680,0.69%,3.26%,32.39,4713.52,55341.14,2263929,3.571
2025/5/29,244975,51701,21.10%,1674,8335643,0.68%,3.24%,34.03,4979.48,57066.08,2344042,3.556
2025/5/30,246943,52571,21.29%,2199,15956167,0.89%,4.18%,64.61,7256.1,109236.44,4448352,3.587
2025/5/31,251958,54502,21.63%,1996,13603823,0.79%,3.66%,53.99,6815.54,93132.22,3707492,3.669
2025/6/1,255263,56573,22.16%,4274,23263287,1.67%,7.55%,91.13,5442.98,159261.22,6209802,3.746
2025/6/2,249700,53673,21.49%,3045,14183750,1.22%,5.67%,56.8,4658.05,97102.42,3928197,3.611
2025/6/3,250410,54073,21.59%,2164,12149106,0.86%,4.00%,48.52,5614.19,83173.18,3317454,3.662
2025/6/4,248837,53437,21.47%,2130,12646336,0.86%,3.99%,50.82,5937.25,86577.23,3502867,3.61